COD,PRODUS,COMANDA F,TR CI,Cinema,VZ CI,TR CR,Crisan,VZ CR,DEPOZIT,EXP,TR GA,Gara,VZ GA,TR PR,Progresu,VZ PR,TR ST,Steaua,VZ ST,TR ZA,Zahana,VZ ZA,TOTAL,VZ 1,VZ 6
005201,TEDI MOUSSE 100GRCAPSUNI,,,8,0,,12,0,10,,,8,0,,0,0,,6,0,,7,0,51,0,
005202,TEDI MOUSSE 100GR BANANE,,,12,1,,7,4,7,,,15,1,,1,0,,6,0,,7,0,55,6,
005469,COTNARI 750ML GRASA DE COTNARI ALB DS,,,0,0,,2,0,-1,,,0,0,,0,0,,0,0,,0,0,1,0,
005492,BORSEC APA 0.33L MINERALA,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
005493,BORSEC APA 0.33L PLATA,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
005573,BUCOVINA APA FRUCTATA CU MAR 1.5L,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
005806,DEVIN APA MINERAL ALCALINA 5L,,,5,1,,6,0,10,,,5,1,,4,0,,5,0,,5,0,40,2,
005941,RED BULL PEPENE ROSU  250ML,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
006203,COTNARI 1.5L ETICHETA GALBENA ROSU DD,,,0,0,,2,0,0,,,0,0,,0,0,,1,0,,-2,0,1,0,
006430,COTNARI 750ML TAMAIOASA ROMANEASCA ALB DS,,,5,0,,0,1,0,,,0,0,,0,0,,1,1,,2,1,8,3,
007461,TYMBARK 1L ANANAS,,,0,0,,-1,0,0,,,1,0,,0,0,,0,0,,1,0,1,0,
009164,XIXO ICE TEA ROBIOS CAPSUNI 250ML,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
009201,SANGE DE TAUR 750ML ROSE DULCE,,,0,0,,1,0,1,,,-1,0,,0,0,,0,0,,2,0,3,0,
009222,COCA COLA 330ML STICLA,,,0,0,,0,0,1,,,2,0,,0,0,,-2,0,,0,0,1,0,
009224,COCA COLA 330ML ZERO STICLA,,,0,0,,0,0,3,,,-1,0,,0,0,,0,0,,0,0,2,0,
009238,BERE URSUS 0.75L STICLA,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
009283,XIXO ICE TEA PEACH 250ML,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
009332,PEPSI COLA 0.25L STICLA VINTAGE,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
009512,PRIGAT 1.75L LIMONADA,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
010676,BERE STRONGBOW APPLE CIDER 330ML PERE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,-1,0,-1,0,
010739,BUCOVINA APA 0.7L PLATA,,,0,0,,0,0,-6,,,0,0,,0,0,,0,0,,0,0,-6,0,
010788,BERE CIUCAS 0.33L ST,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
010790,BERE BERGENBIER 0.33L,,,0,0,,-1,0,-1,,,2,0,,0,0,,0,0,,0,0,0,0,
011098,SUC EURO CHERRY 330ML,,,0,0,,0,0,0,,,1,0,,1,0,,0,0,,0,0,2,0,
011099,SUC EURO ORANGE 330ML,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,1,0,2,0,
011178,BERE CARLSBERG 0.66L STICLA,,,0,0,,0,0,0,,,-1,0,,0,0,,0,0,,0,0,-1,0,
013191,FUZE TEA  500ML PIERSICI,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
013192,FUZE TEA 1.5L FRUCTE DE PADURE,,,0,0,,0,0,0,,,-3,0,,0,0,,0,0,,0,0,-3,0,
013194,FUZE TEA 1.5L LEMONGRASS,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
013195,FUZE TEA  500ML FRUCTE DE PADURE/PEPENE ROSU,,,0,0,,-1,0,0,,,-6,0,,0,0,,0,0,,0,0,-7,0,
013199,FUZE TEA  500ML MANGO,,,0,0,,0,0,0,,,0,0,,-1,0,,0,0,,0,0,-1,0,
013217,SCHWEPPES 0.33L DOZA MANDARIN,,,0,0,,0,0,0,,,0,0,,0,0,,-1,0,,0,0,-1,0,
013244,TYMBARK 250ML MERE CACTUS LAMAIE VERDE,,,0,0,,0,0,0,,,1,0,,0,0,,-1,0,,-1,0,-1,0,
013308,GIUSTO NATURA 500ML PORTOCALE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,-1,0,-1,0,
013803,HELL ENERGY DRINK ICE COOL 250ML ARTIC PEAR,,,0,0,,0,0,0,,,-1,0,,0,0,,0,0,,0,0,-1,0,
013823,FUZE TEA  500ML LEMONGRASS,,,0,0,,0,0,0,,,1,0,,-1,0,,0,0,,0,0,0,0,
013891,BUCOVINA APA FRUCTATA CU LAMAIE 500ML,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
014620,JIDVEI TRADITIONAL ROZE DD 0.75L,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
014671,BECIUL DOMNESC 750ML FETEASCA REGALA,,,0,0,,5,0,0,,,0,0,,0,0,,0,0,,3,0,8,0,
016113,GLACEAU SMART WATHER APA PLATA 600ML,,,0,0,,-1,0,0,,,1,0,,0,0,,-1,0,,0,0,-1,0,
016114,GLACEAU SMART WATHER APA PLATA 1.1L,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
016348,VITAMIN AQUA  ZERO CA 0.6L COCOS& ANANAS,,,0,0,,1,0,-18,,,1,0,,0,0,,0,0,,0,0,-16,0,
016349,VITAMIN AQUA  ZERO B+0.6L  PEPENE VERDE&LIME,,,0,0,,3,0,0,,,0,0,,0,0,,0,0,,0,0,3,0,
016352,VITAMIN AQUA  ZERO MG 0.6L ACAI& COACAZE NEGRE,,,0,0,,3,0,0,,,0,0,,0,0,,0,0,,0,0,3,0,
016606,BERE HEINEKEN 0.66L ST,,,0,0,,1,0,0,,,0,0,,0,0,,-1,0,,0,0,0,0,
016632,CAPPY LEMON & MENTA  400ML,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
016633,CAPPY TASTY LEMON 1.25L,,,0,0,,0,0,0,,,-1,0,,0,0,,0,0,,0,0,-1,0,
016730,METAXA 500ML 5* 38%,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
016760,PEPSI COLA 300ML STICLA,,,-1,0,,0,0,0,,,0,0,,-1,0,,0,0,,0,0,-2,0,
016952,COCA COLA 330ML LIME  ZERO DOZA,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
016966,BERE CARLSBERG 0.5L DOZA ZERO,,,0,0,,0,0,39,,,0,0,,0,0,,0,0,,5,0,44,0,
016975,DORNA APA 1L PLATA,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,-4,0,-3,0,
016981,BERE STAROPRAMEN 0.75L ST,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,-1,0,-1,0,
017062,FIGO SUC PAI 0.2L ZMEURA MERE,,,5,0,,19,1,-6,,,24,0,,0,0,,15,0,,5,1,62,2,
017273,COTNARI 1.5L ETICHETA GALBENA ROSE DD,,,2,0,,0,0,0,,,3,0,,0,0,,0,0,,0,0,5,0,
017534,DORNA APA 330ML PLATA IZVORUL ALB,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
017535,DORNA APA 750ML PLATA IZVORUL ALB SPORT,,,0,0,,0,0,0,,,3,0,,0,0,,0,0,,0,0,3,0,
017762,BERE GOLDEN BRAU 2.5L 6/BAX,,,0,0,,0,0,-18,,,0,0,,0,0,,0,0,,0,0,-18,0,
018009,CAVALER PREMIUM BRANDY 28% 700ML,,,2,0,,1,0,0,,,3,0,,0,0,,5,0,,2,0,13,0,
018015,AQUA CARPATICA APA 0.75L PLATA SPORT,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
018024,BERE NEUMARKT 0.33L,,,0,0,,0,0,31,,,0,0,,0,0,,-1,0,,0,0,30,0,
018282,FANTA 330ML PORTOCALE ZERO ZAHAR,,,0,0,,-1,0,1,,,1,0,,0,0,,0,0,,-1,0,0,0,
018283,BERE BIRRA MORETTI DOZA 0.5L,,,0,0,,0,0,-48,,,0,0,,0,0,,0,0,,0,0,-48,0,
018284,BERE BIRRA MORETTI 0.33L STICLA,,,0,0,,11,0,0,,,0,2,,0,0,,0,0,,0,0,11,2,
018285,BERE BIRRA MORETTI 0.66L STICLA,,,0,0,,0,0,1,,,0,0,,0,0,,-1,0,,0,0,0,0,
018316,BERE GOLDEN BRAU 0.33ML STICLA,,,0,0,,1,0,0,,,-6,0,,0,0,,0,0,,-2,0,-7,0,
018320,FANTA 2L PORTOCALE ZERO ZAHAR,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
018437,BERE CIUCAS 0.5L PET,,,0,0,,-10,0,0,,,0,0,,0,0,,0,0,,0,0,-10,0,
018510,BERE URSUS 0.5L COOLER F A  CIRESE,,,0,0,,0,0,0,,,0,0,,0,0,,-1,0,,0,0,-1,0,
018673,ALCALIA  APA NATURALA ALCALINA 1.5L PLATA,,,-5,0,,0,0,0,,,0,0,,0,0,,-5,0,,0,0,-10,0,
018707,BERE PERONI NASTRO AZZURRO 660ML,,,0,0,,0,1,2,,,0,0,,0,0,,0,0,,-4,0,-2,1,
018740,BERE TIMISOREANA ST  0.75L,,,0,0,,0,0,1,,,-4,0,,0,0,,0,0,,0,0,-3,0,
018771,AQUA CARPATICA APA 1.5L PLATA,,,0,0,,0,0,0,,,0,0,,0,0,,-1,0,,0,0,-1,0,
018820,BERE TIMISOREANA DOZA 500ML F.A,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
018821,BERE URSUS 0.5L COOLER NA GREPFRUT,,,0,0,,-5,0,-1,,,0,0,,0,0,,0,0,,0,0,-6,0,
018832,MERLIN S LEMONADE NO2 0.6L LAMAIE&MENTA,,,0,0,,0,0,-4,,,0,0,,0,0,,0,0,,0,0,-4,0,
018934,VIN CASTEL HUNIADE 750ML MUSCAT OTTONEL DD,,,0,0,,1,0,0,,,1,0,,0,0,,0,0,,0,0,2,0,
019043,FUZE TEA  500ML PEPENE&MENTA ZERO,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
019368,RECAS SCHWABEN WEIN 750ML MUSCAT OTONEL ALB DD,,,0,0,,1,0,0,,,0,0,,0,0,,0,0,,0,0,1,0,
019369,VIN DOMENIILE RECAS MERLOT 750 ML DS,,,2,0,,1,0,0,,,0,0,,0,0,,0,0,,2,0,5,0,
019419,SCANDIC POLAR 500ML 28%,,,0,0,,1,0,0,,,0,0,,0,0,,0,0,,0,0,1,0,
019429,JIDVEI TRADITIONAL MUSCAT OTTONEL 750ML DD,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
019432,ANGELLI 750ML CUVEE IMPERIAL+2 PAHARE,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
019921,CHIVAS REGAL 12ANI CASETA +2 PAHARE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
020368,VINCON SIGILLUM MOLDAVIAE ROSE 750ML DS,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
020377,BERE SKOL 330ML STICLA,,,0,0,,0,0,3,,,0,0,,0,0,,0,0,,0,0,3,0,
020645,LIPTON ICE TEA 1.5L MURE MERISOARE ZMEURA,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
020655,BERE STELLA ARTOIS 660ML ST,,,0,0,,2,0,0,,,0,0,,0,0,,0,0,,0,0,2,0,
020929,BERE GOLDEN BRAU 0.66ML STICLA,,,0,0,,0,0,0,,,-1,0,,0,0,,0,0,,-1,0,-2,0,
021020,DOOZ  BAUTURA ALOE VERA 500 ML,,,0,0,,0,0,0,,,2,0,,0,0,,0,0,,0,0,2,0,
021021,DOOZ  BAUTURA ALOE VERA PREMIUM 1.5L,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
021038,MONSTER ENERGY 500ML PUNCH PIPELINE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
021040,MONSTER ENERGY 500ML THE DOCTOR VR/46,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
021105,MONSTER ENERGY 500ML  ULTRA PARADISE ZERO ZAHAR,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
021118,BERE URSUS 0.5L COOLER F A MANGO SI LIME,,,0,0,,0,0,1,,,-2,0,,0,0,,0,0,,-1,0,-2,0,
021155,GRANINI 0.33L VISINE,,,0,0,,0,0,0,,,0,0,,0,0,,1,0,,0,0,1,0,
021156,GRANINI 0.33L PORTOCALE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,2,0,2,0,
021157,GRANINI 0.33L PIERSICA,,,-1,0,,0,0,0,,,5,0,,0,0,,2,0,,10,0,16,0,
021180,RED BULL ENERGY TROPICAL 250ML,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
021184,FRESH RASPBERYY& BLUEBERY 0.33 L  0.0 ALCOOL ST,,,0,0,,0,0,9,,,1,0,,0,0,,0,0,,-2,0,8,0,
021185,FRESH APPLE& PEAR 0.33 L  0.0 ALCOOL ST,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,1,0,1,0,
021196,ENERGY COFFE 250ML LATTE,,,0,0,,2,0,0,,,1,0,,0,0,,0,0,,0,0,3,0,
021197,ENERGY COFFE 250ML  CAPPUCCINO,,,0,0,,2,0,0,,,2,0,,0,0,,3,0,,0,0,7,0,
021198,ENERGY COFFE 250ML DOUBLE ESPRESSO,,,-1,0,,0,0,0,,,2,0,,0,0,,4,0,,0,0,5,0,
021199,ENERGY COFFE 250ML BLACK COFFEE,,,24,0,,15,0,-12,,,0,0,,0,0,,0,0,,0,0,27,0,
021302,APA 6L ROUA APUSENILOR PLATA,,,2,3,,14,2,126,,,1,6,,6,6,,7,3,,0,4,156,24,
021308,VITAMIN AQUA C 0.6L C+  ZERO LEMON LIME,,,0,0,,8,0,0,,,0,0,,0,0,,0,0,,0,0,8,0,
021322,SAMBURESTI 0.75L ROSE SEC,,,1,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,2,0,
021332,MIONETTO 0.75 ML PROECCO TREVISO,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,1,0,1,0,
021333,ZAREA 0.75ML  PROECCO EXTRA SEC ALB,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,1,0,1,0,
021340,AQUA CARPATICA  250ML PLATA,,,0,0,,0,0,0,,,-2,0,,0,0,,0,0,,0,0,-2,0,
021400,FRUTTI FRESH 2.5L ZMEURA SI MENTA,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
021401,ALCOOL SANITAR VORONA 500ML,,,0,0,,3,0,56,,,4,0,,1,0,,4,2,,5,1,73,3,
021464,BERE TIMISOREANA 0.33L  F A  STICLA,,,0,0,,0,0,2,,,0,0,,0,0,,0,0,,0,0,2,0,
021496,VIN CRICOVA CHATEAU CHARDONNAY DS ALB 0.75L,,,2,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,2,0,
021499,CRICOVA  SPUMANT TRADITIONAL MOMEN EST OMEN  ROSE DS 0.75 L,,,0,0,,2,0,0,,,3,0,,0,0,,0,0,,0,0,5,0,
021500,CRICOVA  SPUMANT TRADITIONAL MOMEN EST OMEN ALB DS 0.75 L,,,2,0,,2,0,0,,,3,0,,0,0,,2,0,,0,0,9,0,
021501,CRICOVA  SPUMANT TRADITIONAL MOMEN EST OMEN  ROSU DS 0.75 L,,,1,0,,1,0,0,,,3,0,,0,0,,3,0,,2,0,10,0,
021502,CRICOVA  SPUMANT CRISECCO BRUT  ALB  0.75 L,,,0,0,,1,0,0,,,0,0,,0,0,,0,0,,0,0,1,0,
021790,VINCON SIGILLUM MOLDAVIAE CUTIE 3 STICLE X750ML,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
021816,TYMBARK 1L NECTAR RODIE,,,0,2,,0,0,0,,,3,0,,0,0,,0,1,,0,1,3,4,
021834,J&B 200ML RARE STICLA,,,0,0,,0,0,0,,,0,0,,0,0,,8,0,,0,0,8,0,
021873,BERE HEINEKEN 0.33L ST SILVER,,,0,0,,0,0,-72,,,0,0,,0,0,,0,0,,0,0,-72,0,
021874,BERE HEINEKEN 0.5L DOZA  SILVER,,,0,0,,0,0,-24,,,0,0,,0,0,,0,0,,0,0,-24,0,
021875,LA CRAMA  0.75L TAMAIOASA ROMANEASCA DULCE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
021961,NAPOCA BAUTURA SPIRTOASA 0.2L 28%VOL PET,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,1,0,1,0,
021965,JIDVEI TRADITIONAL CHARDONNAY 750ML DD,,,0,0,,1,0,0,,,0,0,,0,0,,0,0,,0,0,1,0,
022077,BERE PERONI NASTRO AZZURRO 330ML FARA ALCOL STICLA,,,0,0,,0,0,0,,,-1,0,,0,0,,0,0,,0,0,-1,0,
022087,CAPPY TASTY LEMON 400ML ELDERFLOWER(SOC),,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
022091,DOOZ  BAUTURA ALOE VERA PREMIUM 240ML ORIGINAL,,,0,0,,0,0,0,,,2,0,,0,0,,0,0,,0,0,2,0,
022104,HELL ENERGY DRINK 250ML WATERMELON,,,1,0,,12,0,17,,,-16,0,,0,0,,2,0,,1,0,17,0,
022117,SCHWEPPES 1.5L PORTOCALE SI GUST DE FLOARE DE PORTOCAL ZERO,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
022133,ALCALIA  APA NATURALA ALCALINA 1L PLATA,,,0,0,,0,0,0,,,-1,0,,0,0,,0,0,,-1,0,-2,0,
022172,BERE CIUC 0.5L DOZA RADLER VISINE SI LAMAIE ZERO ALCOOL,,,0,0,,0,0,0,,,0,0,,0,0,,-1,0,,0,0,-1,0,
022173,BERE CIUC 0.5L DOZA RADLER PEPENE SI COACAZE NEGRE  ZERO ALCOOL,,,0,0,,0,0,1,,,1,0,,0,0,,0,0,,0,0,2,0,
022174,BERE CIUC 0.5L DOZA RADLER ZMEURA SI LAMAIE  ZERO ALCOOL,,,0,0,,-1,0,0,,,0,0,,0,0,,-2,0,,0,0,-3,0,
022178,BERE KOZEL DARK 0.5L DOZA,,,0,0,,0,0,75,,,0,0,,0,0,,0,0,,0,0,75,0,
022180,BERE KOZEL LAGER 0.5L DOZA,,,0,0,,0,0,1,,,0,0,,0,0,,0,0,,-10,0,-9,0,
022181,BERE KOZEL LAGER 0.66L STICLA,,,0,0,,0,0,0,,,-4,0,,0,0,,0,0,,0,0,-4,0,
022185,TYMBARK  0.33L MERE SI KIWI DOZA,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022192,TYMBARK 250ML MERE ALOE VERA MURE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022201,ENERGY COFFE 250ML SALTED CARAMEL,,,0,0,,6,0,0,,,0,0,,0,0,,0,0,,0,0,6,0,
022222,BABU BAUTURA ALOE VERA &POMEGRANATE 0.24L DZ,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022241,RED BULL ESTIVAL CACTUS FRUIT 250ML,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022244,BERE URSUS 0.5L COOLER F.A RODIE SI ACAI,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022290,FRESH LEMON&ORANGE 0.5 L  0.0 ALCOOL DZ,,,0,0,,0,0,-2,,,0,0,,0,0,,0,0,,0,0,-2,0,
022313,BERE STRONGBOW DARK FRUIT 500ML COACAZE NEGRE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022322,PEPSI COLA 300ML STICLA MAX ZERO ZAHAR,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022333,BURN ENERGY DRINK 250ML DARK ENERGY,,,0,0,,0,0,1,,,0,0,,0,0,,0,0,,0,0,1,0,
022338,AQUATIQUE APA 1L PLATA,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022344,MONSTER ENERGY 500ML  ULTRA FIESTA MANGO,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
022345,FANTA 500ML MANGO ZERO ZAHAR,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
022362,SWISS FIZZY VITAMIN DRINK 250ML CALCIUM DZ,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022367,BERE CIUC 0.33L STICLA RADLER ZMEURA SI LAMAIE  ZERO ALCOOL,,,0,0,,0,0,0,,,0,1,,0,0,,0,0,,0,0,0,1,
022383,MONSTER ENERGY 500ML JUICED,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022384,SCHWEPPES 1L BITTER LEMON,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
022390,SAMBUREL DE OLT 0.70L  SAUGVIGNON BLANC DS,,,3,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,3,0,
022497,VIN DOMENIILE RECAS CUVEE ROUGE 750ML DS,,,2,0,,2,0,0,,,0,0,,0,0,,0,0,,1,0,5,0,
022498,VIN DOMENIILE RECAS ROZE 750ML DS,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022499,VIN DOMENIILE RECAS FETEASCA REGALA 750ML DS,,,0,0,,1,0,0,,,0,0,,0,0,,0,0,,0,0,1,0,
022500,VIN DOMENIILE RECAS SAUVIGNON BLANC 750ML SEC,,,0,0,,3,0,0,,,0,0,,0,0,,0,0,,0,0,3,0,
022501,VIN DOMENIILE RECAS SYRAH 750ML SEC,,,0,0,,2,0,0,,,0,0,,0,0,,0,0,,0,0,2,0,
022502,PACHET CU PAHAR VIN DOMENIILE RECAS 2X750ML,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022587,COTNARI 750ML BUSUIOACA ROSE DD,,,0,0,,0,1,0,,,-1,0,,0,0,,1,0,,0,0,0,1,
022661,SCHWEPPES 0.5L GREPFRUIT ROZ,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
022662,SCHWEPPES 1.5L GREPFRUIT ROZ,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
022678,KRESKOVA 100ML 28%,,,0,0,,1,0,0,,,1,0,,0,0,,4,0,,0,0,6,0,
